cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
I.E. MIRAFLORES,188.53846153846155,Desconocido,ACADÉMICO,A,MIXTO,TARDE,OFICIAL,RURAL,SUCRE,1
I.E. MISAEL PASTRANA BORRERO,268.43055555555554,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,NORTE SANTANDER,7
I.E. MOJARRAS,229.26666666666668,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,3
I.E. MONSEÑOR JAIME PRIETO AMAYA,268.3857142857143,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,NORTE SANTANDER,7
I.E. MONTE VERDE,223.11111111111111,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ANTIOQUIA,2
I.E. MORALITO,223.85714285714286,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,2
I.E. NACIONALIZADA TECNICA AGROPECUARIA CAMPOHERMOSO,291.1111111111111,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,9
I.E. NATALA,201.3793103448276,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,CAUCA,1
I.E. NICOLAS CUERVO Y ROJAS,257.45454545454544,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,6
I.E. NOANAMITO,196.2,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,1
I.E. NORMAL SUPERIOR,261.26785714285717,S,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,6
I.E. NORMAL SUPERIOR DE COROZAL,275.4939024390244,N,TÉCNICO/ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,SUCRE,8
I.E. NORMAL SUPERIOR DE ENVIGADO,294.38277511961724,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,ANTIOQUIA,9
I.E. NORMAL SUPERIOR DE LA MOJANA,228.30434782608697,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,SUCRE,2
I.E. NORMAL SUPERIOR LA INMACULADA,215.15267175572518,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,CAUCA,1
I.E. NORMAL SUPERIOR LOS ANDES,236.48275862068965,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,3
I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,242.5,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,4
I.E. NORMAL SUPERIOR SAGRADO CORAZON,244.71052631578948,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,4
